,budget,usa_gross_income,worlwide_gross_income
1689,,,
1690,,,
1691,,,
1692,$ 300000,,
1693,,,
1694,,,
1695,,,
1696,,,
1697,,,
1698,,,
1699,,,
1700,,,
1701,,,
1702,,,
1703,,,
1704,,,
1705,,,
1706,$ 659710,,
1707,,,
1708,,,
1709,,,
1710,,,
1711,,,
1712,,,
1713,,,
1714,,,
1715,,,
1716,,,
1717,,,
1718,,,
1719,,,
1720,,,
1721,,,
1722,,,
1723,,,
1724,,,
1725,$ 625000,,
1726,,,
1727,,,
1728,,,
1729,,,
1730,$ 193000,,
1731,,,
1732,,,
1733,,,
1734,$ 436649,,
1735,,,
1736,,,
1737,,,
1738,$ 549370,,
1739,,,
1740,,,
1741,$ 226000,,
1742,,,$ 9505
1743,,,
1744,,,
1745,,,
1746,$ 120000,,
1747,,,
1748,,,
1749,,,
1750,$ 800000,,
1751,,,
1752,,,
1753,$ 95745,,
1754,,,
1755,,,
1756,,,
1757,,,
1758,$ 252238,,
1759,,,
1760,,,
1761,,,
1762,,,
1763,,,
1764,,,
1765,,,
1766,,,
1767,,,
1768,,,
1769,$ 843000,,
1770,$ 617000,,
1771,,,
1772,,,
1773,,,
1774,,,
1775,$ 100000,,
1776,,,
1777,$ 500000,,
1778,,,
1779,,,
1780,,,
1781,,,
1782,,$ 3270000,
1783,,,
1784,,,
1785,,,
1786,,,
1787,,,
1788,,,
1789,,,
1790,,,
1791,,,
1792,,,
1793,,,
1794,,,
1795,,,
1796,,,
1797,$ 167000,,
1798,,,
1799,,,
1800,,,
1801,$ 498000,,
1802,,,
1803,,,
1804,,,
1805,,,
1806,GBP 12000,,
1807,,,
1808,,,
1809,,,
1810,,,
1811,,,
1812,,,
1813,,,
1814,,,
1815,$ 520000,,$ 6750
1816,,,
1817,,,
1818,,,
1819,$ 511000,,
1820,,,
1821,,,
1822,,,
1823,,,
1824,,,
1825,,,
1826,,,
1827,,,
1828,,,
1829,,,
1830,,,
1831,,,
1832,,,
1833,$ 263000,,
1834,,,
1835,,,
1836,$ 223000,,
1837,,,
1838,$ 336000,,
1839,,,
1840,,,
1841,,,
1842,,,
1843,,,
1844,,,
1845,,,
1846,,,
1847,,,
1848,$ 325000,,
1849,,,
1850,,,
1851,GBP 100000,,
1852,,,
1853,,,
1854,,,
1855,,,
1856,,,
1857,,,
1858,,,
1859,,,
1860,,,
1861,,,
1862,,,
1863,,,
1864,,,
1865,,,
1866,$ 518000,,
1867,,,
1868,,$ 183000,
1869,,,
1870,$ 331000,,
1871,,,
1872,,,
1873,$ 650000,,
1874,,,
1875,,,
1876,,,
1877,,,
1878,,,
1879,$ 230000,,
1880,$ 254000,,
1881,,,
1882,,,
1883,,,
1884,,,
1885,GBP 40000,,
1886,,,
1887,,,
1888,,,
1889,,,
1890,,,
1891,$ 5000,,
1892,,,
1893,,,
1894,,,
1895,,,
1896,,,
1897,$ 213000,,
1898,,,
1899,,$ 329180,$ 6014620
1900,,,
1901,,,
1902,,,
1903,,,
1904,,,
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,,,
1911,,,
1912,,,
1913,,,
1914,,,
1915,,,
1916,,,
1917,,,
1918,,,
1919,,,
1920,,,
1921,,,
1922,,,
1923,$ 403000,,
1924,,,
1925,,,
1926,,,
1927,,,
1928,,,
1929,$ 125000,,
1930,,,
1931,$ 947000,,
1932,,,
1933,,,
1934,,,
1935,,,
1936,,,
1937,,,
1938,,,
1939,,,
1940,,,
1941,GBP 12000,,
1942,,,
1943,,,
1944,,,
1945,,,
1946,$ 500000,,
1947,,,
1948,,,
1949,,,
1950,$ 900000,,$ 3299
1951,,,
1952,,,
1953,,,
1954,,,
1955,,,
1956,,,
1957,,,
1958,,,
1959,$ 166000,,
1960,,,
1961,,,
1962,,,
1963,,,
1964,,,
1965,,,
1966,$ 223000,,
1967,$ 80000,,
1968,,,
1969,,,
1970,,,
1971,$ 408000,,
1972,,,
1973,,,
1974,,,
1975,,,
1976,,,
1977,,,
1978,$ 1279142,,
1979,$ 226408,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,$ 2537520,$ 4957320
1988,,,$ 9800
1989,,,
1990,$ 236000,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,$ 1017400,,
1999,,,
